Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,8/20/2016,10:45,Key West ,FL,Resident,Key West Resident,24.44495,-81.92650,21,Western Dry Rocks, Buoy # WD3,Bank Reef, 5-10 kts,86,86,83,partly cloudy,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,palythoa,Gorgonians,no data,Video showed mostly palythoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,8/20/2016,11:50,Key West ,FL,Resident,Key West Resident,24.45445,-81.85770,21,Rock Key,Buoy #R4,Bank Reef,10-15 kts,84,87,83,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,8/20/2016,14:15,Key West ,FL,Resident,Key West Resident,24.54262,-81.78972,12,Casa Marina Reef,40 yds. off Marker 4, Patch Reef, 5-10 kts,88,88,86,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Looks pretty good,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Jeri Goldberg,8/20/2016,10:30,Islamorada ,FL,Dive Industry,Key Dives/Giant Stride,24.87877,-80.57062,29,Captain Arnos,no data, Patch Reef,no data,88,86,85,partly cloudy,Yes,paling,none,paling,paling,none,none,none,1-10%,24,28,palythoa,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Lauri Maclaughlin,8/20/2016,12:00,Key Largo ,FL,Research,Florida Keys National Marine Sanctuary (FKNMS),25.13963,-80.29403,25,Key Largo Horseshoe,Buoy #H2, Patch Reef,no data,no data,84,84,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Most brain corals affected by disease.  Most SSID's with dark spot.  Ceranium bloom causing mortality.  Only about 5% of OFAV/MCAV with white disease.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/20/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55324,-81.37922,22,Site P Outplant,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,, ,, , ,,,,,,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/21/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45930,-81.84322,no data, Eastern Dry Rocks #2,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,fire coral,no data,no data,No disease noted,,,, ,, , ,,,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,
Email, Richard and Patricia Collins,8/21/2016,10:00,Big Pine Key,FL,Resident,Summerland Key Resident ,24.54561,-81.40638,24, Looe Key Buoy 12,Buoy #12,Bank Reef, 0-5 kts,90,no data,no data,no data,No,none,none,none,none,none,none,partial bleaching,1-10%,15,20,no data,no data,no data,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Lauren Toth,8/22/2016,no data,Ft. Lauderdale,FL,Research,United State Geological Society (USGS),24.48078,-81.71164,no data,Western Sambos,entire area,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Brian Reckenbeil,8/22/2016,no data,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),24.62556,-81.11067,no data, Sombrero Key Reef,during spawning,Bank Reef,no data,no data,no data,no data,no data,Yes,paling,paling,none,none,none,none,none,1-10%,no data,no data,no data,no data,no data,no disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,8/23/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.48680,-81.67739,22,Middle Sambo,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,no disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,8/23/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.49204,-81.66200,22,Eastern Sambos,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,SSID with white disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,8/23/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.50032,-81.62895,22,Pelican Reef,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,BBD on SSID,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Richard and Patricia Collins,8/23/2016,10:00,Big Pine Key,FL,Resident,Summerland Key Resident ,24.61553,-81.39370,15, Newfound Harbor Sanctuary Preservation Zone,Buoy #4, Mid-Channel Reef,no data,no data,no data,no data,no data,Yes,paling,none,none,none,none,none,none,1-10%,15,20,no data,no data,no data,"Nothing new here, no worse, no better. New boat damage from large craft; probably due to lobster mini-season visitors.",,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/24/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.51914,-81.53154,40, FRRP-1226,no data,Bank Reef,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,paling,none,paling,1-10%,no data,no data,fire coral,no data,no data,"No disease reported, mostly SSID's paling.",, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/24/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.51838,-81.53454,no data, FRRP-2221,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,paling,none,none,1-10%,no data,no data,fire coral,no data,no data,"No disease reported, mostly SSID's paling.",,,, ,, ,, , ,,,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/24/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52296,-81.51902,19, FRRP-2207,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,fire coral,no data,no data,No disease noted.  Lots of cyano and clumps of red algae.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,8/24/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52227,-81.51976,22, FRRP-1213,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,partial bleaching,none,paling,none,none,none,1-10%,no data,no data,fire coral,no data,no data,No disease noted.,,,,,, ,,,, ,, ,, , ,,,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,, ,, ,,,,,, ,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , 
In Person, Cory Walter,8/24/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52136,-81.52074,31, FRRP-1212,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,fire coral,no data,no data,No disease noted.,,,, ,,,, ,, ,, , ,,,,,,, ,, ,, ,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,8/24/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.57917,-81.49692,20,Birthday Reef,no data, Patch Reef,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,paling,1-10%,no data,no data,fire coral,no data,no data,"White disease on OANN ran it's course, but noticed CNAT with white disease, and 2-3 others looking like diseased",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Daniel Smith,8/26/2016,no data,Key West ,FL,Dive Industry,Charter Captain,24.66812,-82.38115,30," Marquesas,new grounds Tortugas",no data,Bank Reef,no data,no data,no data,no data,no data,Yes,partial bleaching,bleaching,bleaching,bleaching,bleaching,bleaching,none,11-30%,30,60,gorgonians,no data,no data,filamentous algae at least 3 ft. thick,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Jacob Kuhn,8/27/2016,10:00,New Port Richey ,FL,Education, The Nature Conservancey,25.00903,-80.37827,30, Molases Reef, south side,Bank Reef, 10-15 kts,88,85,85,mostly cloudy,Yes,partial bleaching,none,partial bleaching,partial bleaching,none,none,partial bleaching,1-10%,15,30,no data,no data,no data,,, ,,,,,, ,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Benjamin D'Avanzo,8/29/2016,10:00,Big Pine Key,FL,Research, Florida Fish and Wildlife (FWC),24.62623,-81.10892,20, Sombrero Key Reef,no data,Bank Reef, 0-5 kts,85,86,87,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"observed during spawning dive to collect gametes with Dr. Karen Neely of White Plague on large CNAT approx. 25-30% mortality, active, sex unknown, white Plague on DCYL colony approx.  25% mortality, active, sex hermaphrodite, photo posted on your Facebook page",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Alexandra Dubel,9/5/2016,10:00,Key West ,FL,Research,Dry Tortugas National Park (DTNP),24.63510,-82.92140,12, Little Africa - Loggerhead,no data,Bank Reef,no data,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,3,12,gorgonians,no data,no data,OANN/SRAD paling,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Alexandra Dubel,9/5/2016,10:00,Key West ,FL,Research,Dry Tortugas National Park (DTNP),24.62833,-82.87472,10, Moat Wall - Fort Jefferson,no data,other/don't know,no data,no data,78,no data,mostly cloudy,Yes,paling,none,none,paling,none,none,none,1-10%,6,6,palythoa,no data,no data,SRAD - paling,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,9/5/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45930,-81.84322,no data, Eastern Dry Rocks #2,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,fire coral,no data,no data,Minor paling on some MMEA and OFAV,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person, Cory Walter,9/6/2016,10:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.45445,-81.85770,no data, Rock Key,no data,Bank Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,10:10,Key West ,FL,Resident,Key West Resident,24.44483,-81.92653,21,Western Dry Rocks,no data,other/don't know, 10-15 kts,84,86,84,partly cloudy,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,palythoa,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,11:40,Key West ,FL,Resident,Key West Resident,24.45435,-81.85775,21,Rock Key,no data,other/don't know, 10-15 kts,86,84,81,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,9/7/2016,12:30,Key West ,FL,Resident,Key West Resident,24.54233,-81.78993,12,Casa Marina Reef,no data,other/don't know, 10-15 kts,88,84,81,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.59711,-81.26461,25,FRRP-3001,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.62170,-81.15642,25,FRRP-3002,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.60183,-81.20769,25,FRRP-3004,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Meaghan Johnson,9/7/2016,no data,Big Pine Key,FL,Research,The Nature Conservancey,24.59492,-81.22578,30,FRRP-2171,no data,other/don't know,no data,no data,no data,no data,no data,Yes,paling,none,paling,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,6 MMEA with DS disease,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email,Trudy Ferraro,9/7/2016,no data,Key Largo ,FL,Research,Florida Park Service (FPS),25.04497,-80.39637,no data,Pennekamp Park,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"DS on SSID, disease level low, effecting ~50% species",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Michele Mason,9/11/2016,10:00,Summerland Key ,FL,Resident,Summerland Key Resident,24.61553,-81.39370,7.3, Newfound Harbor Sanctuary Preservation Zone,Buoy #1, Patch Reef, 5-10 kts,84,83,no data,partly cloudy,Yes,paling,none,paling,paling,none,none,none,11-30%,4,7,no data,no data,no data,"Spiny black sea urchins (2-3) observed with 50% or greater of their spines being white/grey. I have not seen this before at this exact location (observed in June, July, August) .  I did not notice any with loss of",,,,,,  ,, ,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.61658,-81.39073,8,FRRP-1193,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,no data,no data,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54690,-81.42886,35,FRRP-2220,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,Yes,paling,none,none,paling,none,none,none,1-10%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54610,-81.40730,12,FRRP-1214,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,White disease on OFAV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/12/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.56692,-81.38860,24,FRRP-1207,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.52639,-81.62442,26,FRRP-1199,no data, Mid-Channel Reef, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54826,-81.57417,18,FRRP-1200,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.58155,-81.57414,19,Random,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/14/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55933,-81.50905,19,FRRP-2190,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/16/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55268,-81.38230,20, Combat Wounded Veterans,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,White band of ACER outplants,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,9/16/2016,no data,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.54961,-81.44187,27,FRRP-2213,no data,other/don't know, 5-10 kts,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
