Contact Method,Name,Date,Time,City,State,Observer,Vessel,GIS Latitude,GIS Longitude,Depth (ft),Location,Region/Buoy#,Reef Zone,Wind Spd.,Air Temp (°F),SST (°F),Bottom Temp (°F),Cloud Cover,Bleaching?,Severity,Branching/Pillar,Brain,Encrusting/Mound/Boulder,Flowering/Cup,Leaf/Plate/Sheet,Fleshy,% bleached,Max Depth (ft),Min Depth (ft),Baseline Indicators,Baseline Indicators,Baseline Indicators,Notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Donna Blaszcak,6/22/2016,11:00,Marathon ,FL,Resident, M/V Calypso Voyager,24.62536,-81.11285,26, Sombrero Key Reef, west end,Bank Reef,no data,no data,no data,85,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,, ,,,,,,,, ,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Sarah Egner,6/22/2016,11:00,Key Largo ,FL,Education, MarineLab,25.11003,-80.30693,25, Banana Reef (Key Largo), south end of Grecian rocks,Bank Reef, 5-10 kts,no data,no data,no data,clear,Yes,upper surface,none,partial bleaching,partial bleaching,none,none,none,1-10%,8,10,palythoa,no data,no data,black band disease,, ,,,,,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,, ,,,,,,,
Email, Danielle Morley,6/23/2016,11:00,Marathon ,FL,Research, Florida Fish and Wildlife (FWC),24.66585,-81.07066,18, Washer Woman,no data, Patch Reef, 5-10 kts,87,86,85,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,, , , ,, , ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Peter Horton,6/23/2016,11:00,Key West ,FL,Resident,Key West Resident,24.45437,-81.85772,21,Rock Key,Buoy #R4, Patch Reef, 5-10 kts,86,84,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,palythoa,fire coral,no data,Some fire coral tips were white.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Tyler Bond,6/23/2016,no data,Summerland Key ,FL,Education, OA Ocean Adventure/Florida Sea Base,24.62533,-81.10988,no data, Coffin's Patch,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/24/2016,11:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55245,-81.38409,no data,Site A Outplant,no data,other/don't know, 5-10 kts,no data,no data,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,No disease noted.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
In Person,Cory Walter,6/24/2016,13:00,Summerland Key ,FL,Research,Mote Marine Laboratory (MML),24.55116,-81.38960,no data,Site H Outplant ,no data,other/don't know,no data,no data,no data,no data,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,"White band disease on outplants, did not notice on other corals.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Tyler Bond,6/24/2016,no data,Summerland Key ,FL,Education, OA Ocean Adventure/Florida Sea Base,24.62666,-81.10799,no data, Sombrero Key Reef,no data,Bank Reef,no data,no data,no data,no data,partly cloudy,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Donna Blaszcak,6/24/2016,no data,Marathon ,FL,Resident, M/V Calypso Voyager,24.66073,-81.25085,12, Bahia Honda SP,no data, Hardbottom,no data,no data,no data,88,no data,No,none,none,none,none,none,none,none,0%,15,10,no data,no data,no data,This was an inshore grass bed.  Found one small star coral head (about 1,,,, ,,,,,,,, ,, ,, ,,,,,,,,,,,, ,,,, ,, ,, ,,,,,,,, ,,,, ,,,,,,, , , ,, , ,,,, , , ,,,,,,,,,, , , ,,,,,,,,,,,,,,, ,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Email, Donna Blaszcak,6/25/2016,11:00,Marathon ,FL,Resident, M/V Calypso Voyager,24.62562,-81.11107,26, Sombrero Key Reef, moored on #14; dove #10 to #12,Bank Reef,no data,no data,no data,86,no data,No,none,none,none,none,none,none,none,0%,no data,no data,no data,no data,no data,Everything looked GREAT!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
